day_number,collision_date,num_collisions,weather_date,temperature,dew_point,sea_level_pressure,visibility,wind_speed,max_sustained_wind_speed,max_wind_gust,max_temperature,min_temperature,total_precipitation,snow_depth,fog_occurred
7,2022-01-30,223,2022-01-30,17.1,-1.0,1013.3,10.0,7.9,15,24.1,28.9,12.0,0.32,5.9,0
6,2019-01-19,479,2019-01-19,35.1,23.4,1022.0,9.8,999.9,999.9,999.9,39.0,28.9,0.0,1.2,0
1,2019-03-04,503,2019-03-04,34.6,27.4,1009.3,5.9,999.9,999.9,999.9,42.1,33.1,0.81,1.2,1
7,2019-03-03,503,2019-03-03,38.4,26.3,1018.7,8.7,999.9,999.9,999.9,42.1,30.9,0.04,3.9,0
4,2019-03-07,556,2019-03-07,24.1,5.3,1024.9,10.0,999.9,999.9,999.9,32.0,18.0,0.0,1.2,0
2,2018-04-03,551,2018-04-03,40.6,34.1,1021.0,7.2,3.5,9.9,999.9,43.0,33.1,0.13,5.1,0
1,2018-02-19,435,2018-02-19,42.5,31.4,1031.8,9.8,3.8,7.0,14.0,48.9,33.1,0.01,3.1,0
4,2018-01-11,696,2018-01-11,44.7,36.7,1028.2,8.8,2.4,6.0,999.9,53.1,30.0,0.0,3.9,0
6,2018-03-24,550,2018-03-24,42.0,18.7,1018.2,10.0,5.2,8.0,999.9,51.1,35.1,0.0,1.2,0
5,2018-03-09,751,2018-03-09,35.3,21.7,1006.3,10.0,6.3,12.0,22.0,42.1,30.0,0.0,3.1,0
3,2018-01-10,687,2018-01-10,35.1,21.0,1030.3,10.0,3.7,7.0,999.9,44.1,30.0,0.0,5.1,0
2,2018-01-09,684,2018-01-09,35.6,22.3,1019.6,9.5,6.4,9.9,18.1,44.1,17.1,0.01,5.1,0
5,2018-01-12,704,2018-01-12,54.5,52.8,1015.6,5.9,5.7,8.9,19.0,61.0,41.0,0.0,3.1,1
6,2018-01-06,599,2018-01-06,10.2,-9.4,1021.0,10.0,9.7,14.0,26.0,19.0,8.1,0.0,7.1,0
5,2018-03-23,732,2018-03-23,41.6,20.8,1015.2,10.0,4.8,8.9,18.1,50.0,32.0,0.06,7.9,0
6,2013-03-09,569,2013-03-09,43.7,22.1,1023.2,10.0,5.9,8.9,18.1,55.0,35.1,0.4,2.0,0
3,2022-02-02,268,2022-02-02,37.7,30.6,1031.3,8.8,3.5,6,999.9,46.9,23.0,0.0,5.9,0
5,2019-02-22,546,2019-02-22,42.3,23.2,1024.8,10.0,999.9,999.9,999.9,52.0,33.1,0.1,1.2,0
2,2019-03-05,639,2019-03-05,27.2,7.8,1016.3,10.0,999.9,999.9,999.9,37.9,19.9,0.29,3.9,0
7,2018-01-07,475,2018-01-07,9.7,-6.6,1032.6,10.0,6.3,12.0,19.0,18.0,5.0,0.0,5.9,0
2,2013-12-17,703,2013-12-17,27.3,16.0,1020.7,6.1,5.2,9.9,999.9,32.0,24.8,0.01,3.1,1
6,2017-01-07,896,2017-01-07,23.0,11.3,1024.1,5.7,6.2,9.9,18.1,28.9,19.4,0.01,1.2,1
3,2017-03-15,650,2017-03-15,23.2,9.4,1001.4,9.8,10.4,15.9,26.0,32.0,19.9,1.36,3.9,0
6,2017-12-16,661,2017-12-16,28.9,19.0,1015.1,8.5,6.0,8.9,22.0,39.0,19.9,0.11,1.2,0
3,2019-03-06,589,2019-03-06,23.3,3.8,1018.4,9.8,999.9,999.9,999.9,32.0,19.0,0.0,2.0,0
4,2019-02-14,664,2019-02-14,37.3,18.7,1014.5,10.0,999.9,999.9,999.9,46.0,33.1,0.08,1.2,0
6,2022-01-08,235,2022-01-08,25.2,7.0,1030.1,10.0,6.3,11.1,21.0,34.0,19.9,0.03,5.9,0
2,2022-02-01,274,2022-02-01,28.6,14.0,1032.9,10.0,4.4,8,999.9,36.0,21.0,0.0,5.9,0
6,2018-11-17,559,2018-11-17,42.0,30.0,1018.6,10.0,999.9,999.9,999.9,46.9,37.9,0.07,3.9,0
7,2018-11-18,470,2018-11-18,42.2,27.5,1026.6,10.0,999.9,999.9,999.9,45.0,39.0,0.0,2.0,0
5,2018-01-05,700,2018-01-05,14.9,-2.5,1006.2,10.0,11.2,17.1,29.9,28.9,9.0,0.69,1.2,0
6,2018-03-10,567,2018-03-10,35.7,19.9,1012.3,10.0,7.7,12.0,22.0,42.1,30.0,0.0,2.0,0
1,2017-02-13,642,2017-02-13,35.2,24.7,1007.0,9.8,9.9,21.0,34.0,39.9,30.0,0.44,2.0,0
1,2017-01-09,669,2017-01-09,18.6,3.1,1037.9,10.0,4.6,8.0,17.1,25.0,14.0,0.0,3.9,0
2,2017-12-12,687,2017-12-12,43.7,31.9,1005.7,10.0,5.4,9.9,20.0,50.0,33.1,0.0,2.0,0
5,2017-02-10,708,2017-02-10,24.2,6.2,1020.6,10.0,8.2,15.0,27.0,44.1,19.0,0.82,2.0,0
7,2017-12-17,547,2017-12-17,34.7,22.3,1023.9,10.0,2.8,6.0,999.9,39.0,23.0,0.0,2.0,0
6,2017-02-11,511,2017-02-11,37.3,21.5,1015.6,9.6,4.4,13.0,21.0,48.0,19.0,0.0,7.9,0
7,2017-03-12,516,2017-03-12,23.8,3.3,1025.4,10.0,7.9,12.0,21.0,28.9,17.1,0.0,1.2,0
1,2017-03-20,750,2017-03-20,41.5,13.9,1019.2,10.0,4.3,8.9,15.0,52.0,33.1,0.0,3.1,0
5,2016-01-29,645,2016-01-29,38.3,21.7,1001.0,9.5,5.5,12.0,22.9,42.1,32.0,0.0,5.9,0
6,2016-02-06,553,2016-02-06,34.6,16.7,1027.5,10.0,5.0,9.9,19.0,44.1,30.0,0.15,1.2,0
4,2016-01-28,681,2016-01-28,37.0,19.3,1015.4,10.0,4.1,12.0,15.9,46.9,32.0,0.0,9.1,0
3,2016-01-27,670,2016-01-27,43.9,24.7,1015.7,9.9,6.2,9.9,22.0,48.0,37.9,0.0,16.9,0
2,2022-02-15,289,2022-02-15,21.9,0.3,1034.1,10.0,4.5,8,999.9,30.0,16.0,0.0,1.2,0
1,2022-01-31,311,2022-01-31,25.0,5.6,1025.3,10.0,3.5,6,14.0,30.9,12.0,0.0,7.1,0
7,2022-01-09,232,2022-01-09,34.0,21.3,1027.4,9.7,6.2,12,19.0,39.0,19.9,0.0,3.1,1
5,2017-12-15,999,2017-12-15,23.6,10.6,1018.1,8.2,3.9,8.0,14.0,32.0,19.9,0.02,1.2,1
6,2017-03-18,504,2017-03-18,36.3,22.5,1022.5,8.7,6.3,14.0,20.0,46.9,28.9,0.0,3.9,0
1,2017-12-18,706,2017-12-18,38.7,30.3,1019.5,9.1,3.4,8.9,17.1,46.0,32.0,0.02,1.2,0
1,2017-01-16,477,2017-01-16,35.0,20.0,1029.7,10.0,3.1,7.0,999.9,43.0,30.0,0.0,1.2,0
4,2017-03-16,839,2017-03-16,29.7,9.8,1012.9,10.0,7.7,14.0,31.1,39.0,19.9,0.0,5.9,0
3,2017-02-15,603,2017-02-15,40.3,29.5,1000.1,9.4,4.6,15.9,25.1,46.9,28.0,0.0,2.0,0
2,2017-02-14,688,2017-02-14,32.6,18.8,1013.0,10.0,5.5,11.1,22.0,39.9,28.0,0.02,2.0,0
7,2017-02-12,439,2017-02-12,34.7,28.7,1017.7,6.2,6.4,14.0,20.0,48.0,30.0,0.04,5.1,0
7,2017-03-19,550,2017-03-19,38.7,23.9,1021.1,10.0,9.1,14.0,22.9,46.9,34.0,0.08,3.1,0
5,2017-03-17,756,2017-03-17,36.3,12.6,1021.9,10.0,6.1,9.9,18.1,46.9,24.1,0.0,5.1,0
1,2017-12-11,725,2017-12-11,36.6,21.9,1015.9,10.0,5.2,8.9,19.0,41.0,28.9,0.0,3.9,0
3,2017-01-11,629,2017-01-11,45.8,37.8,1024.9,9.5,5.3,12.0,20.0,52.0,37.9,0.26,3.1,0
2,2017-01-10,597,2017-01-10,27.7,15.3,1035.5,10.0,4.0,8.0,14.0,37.9,14.0,0.0,3.1,0
1,2018-01-08,720,2018-01-08,22.5,7.7,1024.3,9.6,5.1,9.9,24.1,30.0,5.0,0.0,5.9,0
5,2020-12-25,168,2020-12-25,53.7,49.6,1001.6,6.6,9.8,18.1,39.0,61.0,36.0,0.95,1.2,1
5,2022-02-04,288,2022-02-04,43.6,40.8,1013.6,5.5,5.4,9.9,22.0,57.0,28.9,0.6,2.0,1
1,2016-12-19,722,2016-12-19,28.4,8.7,1036.2,10.0,6.8,11.1,21.0,37.0,24.1,0.02,1.2,0
2,2016-02-02,711,2016-02-02,44.5,24.1,1023.0,10.0,3.4,7.0,999.9,59.0,37.9,0.01,2.0,0
1,2016-02-01,716,2016-02-01,52.1,35.4,1009.2,9.8,5.0,7.0,18.1,59.0,36.0,0.0,3.9,0
7,2016-01-24,517,2016-01-24,26.7,11.6,1012.1,7.4,6.3,17.1,26.0,35.1,19.9,1.82,5.9,1
7,2016-01-31,532,2016-01-31,42.6,24.5,1013.7,10.0,5.6,11.1,22.0,55.9,28.0,0.0,5.9,0
2,2016-01-26,734,2016-01-26,41.4,26.9,1018.9,9.8,5.1,8.9,25.1,48.0,28.0,0.0,18.9,0
3,2013-03-20,540,2013-03-20,38.5,18.9,1010.0,10.0,7.2,12.0,24.1,45.0,32.0,0.2,2.0,0
2,2013-02-12,498,2013-02-12,41.9,28.8,1009.8,8.8,7.2,14.0,22.0,45.0,39.9,0.4,9.1,0
1,2013-12-16,640,2013-12-16,30.3,12.7,1015.1,10.0,7.4,12.0,22.0,39.9,26.1,0.72,3.1,0
7,2013-03-10,415,2013-03-10,41.8,28.6,1027.2,10.0,4.1,7.0,999.9,51.1,36.0,0.0,2.0,0
1,2022-01-10,265,2022-01-10,32.7,17.6,1018.4,9.3,7.7,17.1,27.0,39.9,27.0,0.1,3.1,1
4,2022-02-03,248,2022-02-03,44.4,42.1,1024.8,4.5,3,8.9,999.9,48.0,32.0,0.01,3.9,1
1,2022-02-14,303,2022-02-14,21.8,3.5,1019.5,10.0,7.9,12,22.0,42.1,16.0,0.09,1.2,0
2,2015-01-27,188,2015-01-27,24.8,16.8,1005.1,4.3,8.8,17.1,27.0,30.0,21.0,0.78,2.0,1
1,2015-01-26,484,2015-01-26,26.5,12.7,1014.6,5.6,9.8,17.1,28.9,35.1,21.2,0.0,2.0,1
1,2015-03-02,650,2015-03-02,32.4,19.1,1020.2,7.5,5.3,13.0,27.0,39.0,24.1,0.52,9.8,0
7,2015-02-22,519,2015-02-22,34.3,28.2,1021.2,4.5,2.1,7.0,17.1,43.0,28.9,0.71,9.1,1
6,2015-02-14,436,2015-02-14,23.4,4.9,1014.0,8.5,4.6,8.9,20.0,32.0,8.1,0.0,7.9,0
6,2015-02-07,449,2015-02-07,29.8,12.6,1019.7,9.0,3.5,8.9,15.0,37.9,12.0,0.0,7.9,0
1,2015-02-09,547,2015-02-09,27.7,21.0,1014.8,8.8,9.6,15.9,22.9,37.0,25.0,0.03,7.9,0
7,2015-02-15,454,2015-02-15,18.9,4.1,1005.5,8.8,10.8,15.0,34.0,32.0,10.0,0.02,7.9,0
7,2015-03-15,459,2015-03-15,42.4,31.3,1007.8,9.3,8.8,15.0,29.9,51.1,39.0,0.58,1.2,0
4,2015-02-19,515,2015-02-19,20.9,2.1,1008.1,9.7,9.3,14.0,25.1,33.1,14.0,0.0,9.1,0
4,2015-02-12,526,2015-02-12,32.3,19.4,1009.9,8.9,4.6,8.9,21.0,39.9,21.9,0.0,7.9,0
5,2015-03-06,939,2015-03-06,19.4,3.2,1030.9,8.7,4.7,9.9,17.1,39.9,12.0,0.52,13.0,0
2,2015-02-24,580,2015-02-24,12.1,-6.8,1025.2,10.0,6.0,13.0,21.0,21.9,3.9,0.0,11.8,0
7,2015-01-11,341,2015-01-11,25.7,3.0,1035.9,10.0,5.5,9.9,20.0,37.0,16.0,0.0,1.2,0
4,2015-01-08,573,2015-01-08,13.0,-6.2,1027.1,10.0,8.8,18.1,31.1,23.0,8.1,0.0,1.2,0
2,2015-02-03,740,2015-02-03,18.1,7.6,1019.8,8.9,7.2,12.0,26.0,34.0,12.9,0.34,7.1,0
7,2015-03-22,432,2015-03-22,39.1,16.9,1015.9,9.7,7.2,12.0,22.0,46.9,28.9,0.0,5.1,0
4,2015-02-05,569,2015-02-05,33.8,16.1,1014.6,10.0,6.3,11.1,22.9,43.0,21.0,0.0,7.9,0
3,2013-12-18,701,2013-12-18,28.9,18.3,1016.3,9.7,5.5,11.1,19.0,37.0,23.0,0.18,3.1,0
2,2013-01-29,542,2013-01-29,40.3,35.3,1018.2,5.3,4.3,8.0,14.0,48.0,34.0,0.22,1.2,0
4,2013-12-19,607,2013-12-19,36.5,20.7,1020.0,9.7,4.8,8.0,21.0,45.0,23.0,0.0,3.9,0
6,2013-12-21,594,2013-12-21,55.4,44.4,1014.6,9.8,7.0,11.1,20.0,63.0,41.0,0.01,3.1,0
3,2013-02-13,570,2013-02-13,38.2,22.5,1011.2,9.9,3.0,7.0,15.0,44.1,33.1,0.0,3.9,0
1,2013-02-11,475,2013-02-11,38.5,32.4,1019.6,5.6,3.2,7.0,999.9,45.0,32.0,0.09,9.8,1
5,2013-12-20,674,2013-12-20,46.8,28.4,1017.8,10.0,3.0,11.1,20.0,53.1,30.0,0.0,3.1,0
1,2015-02-02,680,2015-02-02,29.9,25.0,1008.1,3.0,6.8,15.0,26.0,36.0,19.9,0.71,5.9,1
4,2015-03-05,830,2015-03-05,30.3,27.2,1015.8,2.2,5.4,9.9,15.9,43.0,19.4,0.48,13.0,1
2,2015-02-17,620,2015-02-17,20.2,5.0,1014.4,6.7,3.9,8.9,999.9,27.0,3.0,0.11,9.1,0
6,2015-02-21,517,2015-02-21,20.5,3.2,1031.1,7.7,4.6,8.0,17.1,28.9,1.9,0.0,9.1,0
4,2015-02-26,539,2015-02-26,26.8,8.2,1015.6,9.7,6.1,9.9,15.9,37.0,19.9,0.0,11.8,0
3,2015-02-11,610,2015-02-11,28.3,12.2,1017.2,10.0,7.8,15.9,24.1,39.9,21.9,0.01,7.9,0
3,2015-01-28,458,2015-01-28,23.6,3.8,1014.8,10.0,7.7,12.0,21.0,34.0,16.0,0.36,7.9,0
3,2015-02-18,626,2015-02-18,24.9,10.3,1011.2,9.6,2.9,7.0,999.9,33.1,14.0,0.03,11.8,0
6,2015-03-07,578,2015-03-07,26.1,8.7,1024.0,9.8,5.8,11.1,21.0,37.9,12.0,0.0,18.9,0
7,2015-03-08,464,2015-03-08,41.4,21.3,1017.6,9.8,4.0,11.1,19.0,48.9,37.0,0.0,18.1,0
5,2015-03-13,609,2015-03-13,37.6,4.8,1035.4,10.0,5.6,8.9,15.9,46.9,30.9,0.0,3.9,0
3,2015-02-25,628,2015-02-25,27.6,9.5,1010.4,10.0,5.8,9.9,21.0,37.0,19.9,0.0,11.8,0
7,2016-12-18,521,2016-12-18,45.5,41.8,1012.5,6.1,5.2,15.9,27.0,57.9,24.1,0.57,2.0,1
